Module,Available for New Content,Category,Family,Field Count,Field Names,Field Types,HTML Size KB,HubSpot Module ID,Notes,Review Status,Slug,Source Path,Theme,Used In Emails
Timeline - Light,No,newsletter,Timeline,,,,,,,Not started,,,Light,"C-0 · Consultation Recap — Day 0 (https://app.notion.com/p/C-0-Consultation-Recap-Day-0-7e5150343cdd4111a1e316d127a34ecb?pvs=21), W-5 · Soft Consult Invite — Signup +18d (https://app.notion.com/p/W-5-Soft-Consult-Invite-Signup-18d-cbc584eb023c4555925a4e70f5ca4921?pvs=21), W-2 · How Systems Work — Signup +3d (https://app.notion.com/p/W-2-How-Systems-Work-Signup-3d-c5ead34961f44b2bb581e993f572e936?pvs=21)"
Comparison - Light,No,newsletter,Comparison,,,,,,,Not started,,,Light,"C-2 · Spec Confidence — Day 6 (https://app.notion.com/p/C-2-Spec-Confidence-Day-6-064a486128b64f3e83b4ecc1e80a09eb?pvs=21), W-2 · How Systems Work — Signup +3d (https://app.notion.com/p/W-2-How-Systems-Work-Signup-3d-c5ead34961f44b2bb581e993f572e936?pvs=21)"
Signal - Countdown - Light,No,core,Signal - Countdown,,,,,,M8 in legacy stacks,Not started,,,Light,C-3 · Soft Incentive — Day 12 (https://app.notion.com/p/C-3-Soft-Incentive-Day-12-9c53ce6c1f9c4d42a94de96d9b4908a9?pvs=21)
Photo - Founder note - Light,No,core,Photo - Founder note,,,,,,,Not started,,,Light,"W-5 · Soft Consult Invite — Signup +18d (https://app.notion.com/p/W-5-Soft-Consult-Invite-Signup-18d-cbc584eb023c4555925a4e70f5ca4921?pvs=21), W-2 · How Systems Work — Signup +3d (https://app.notion.com/p/W-2-How-Systems-Work-Signup-3d-c5ead34961f44b2bb581e993f572e936?pvs=21)"
Footer - Wide - Light,No,core,Footer - Wide,,,,,,,Not started,,,Light,
Text - Section - Light,No,core,Text - Section,,,,,,Generic heading + richtext module. Absorbs legacy variants: Why it matters / Next step / Five changes / Founder pillars — maintain 1 module instead of 4.,Not started,,,Light,W-1 · Welcome + Expectations — Signup +0d (https://app.notion.com/p/W-1-Welcome-Expectations-Signup-0d-114a216d79044540bae58cf824c77151?pvs=21)
List - Trust strip - Dark,No,proof,List - Trust strip,,,,,,,Not started,,,Dark,
Quote - Accent bar - Dark,No,proof,Quote - Accent bar,,,,,,,Not started,,,Dark,
Stat bars - Dark,No,proof,Stat bars,,,,,,,Not started,,,Dark,
Review stars - Dark,No,proof,Review stars,,,,,,M12 in legacy stacks,Not started,,,Dark,
Quote - Centered - Dark,No,proof,Quote - Centered,,,,,,,Not started,,,Dark,
Text - Masthead - Dark,No,newsletter,Text - Masthead,,,,,,,Not started,,,Dark,
Hero - Photo-led - Dark,No,newsletter,Hero - Photo-led,,,,,,,Not started,,,Dark,
Product - 3-up grid - Dark,No,newsletter,Product - 3-up grid,,,,,,,Not started,,,Dark,
Column - Image and text - Dark,No,newsletter,Column - Image and text,,,,,,,Not started,,,Dark,
Grid - Collections 4 - Dark,No,newsletter,Grid - Collections 4,,,,,,,Not started,,,Dark,
FAQ - Dark,No,newsletter,FAQ,,,,,,,Not started,,,Dark,
Timeline - Dark,No,newsletter,Timeline,,,,,,,Not started,,,Dark,
Comparison - Dark,No,newsletter,Comparison,,,,,,,Not started,,,Dark,
Signal - Countdown - Dark,No,core,Signal - Countdown,,,,,,M8 in legacy stacks,Not started,,,Dark,
Photo - Founder note - Dark,No,core,Photo - Founder note,,,,,,,Not started,,,Dark,
Footer - Wide - Dark,No,core,Footer - Wide,,,,,,,Not started,,,Dark,
Text - Section - Dark,No,core,Text - Section,,,,,,Generic heading + richtext module. Absorbs legacy variants: Why it matters / Next step / Five changes / Founder pillars — maintain 1 module instead of 4.,Not started,,,Dark,
